COUNTRY.Name,INDICATOR.Name,FREQUENCY.Name,SCALE.Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Aruba, Kingdom of the Netherlands","Current account balance, US Dollar",Annual,Billions,0.115,0.136,0.03,-0.017,0.006,-0.425,-0.065,0.213,0.191,0.265
"Aruba, Kingdom of the Netherlands","Current account balance, Percent of GDP",Annual,Units,3.881,4.557,0.959,-0.53,0.191,-16.609,-2.089,5.995,4.841,6.223
"Aruba, Kingdom of the Netherlands","Revenue, General government, Domestic currency",Annual,Billions,1.267,1.264,1.216,1.303,1.425,1.1,1.094,1.346,1.714,1.799
"Aruba, Kingdom of the Netherlands","Revenue, General government, Percent of GDP",Annual,Units,23.898,23.664,21.971,22.222,23.445,24.007,19.698,21.214,24.277,23.598
"Aruba, Kingdom of the Netherlands","Expenditure, General government, Domestic currency",Annual,Billions,1.346,1.342,1.359,1.458,1.44,1.843,1.603,1.376,1.532,1.619
"Aruba, Kingdom of the Netherlands","Net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-0.078,-0.078,-0.143,-0.155,-0.015,-0.743,-0.509,-0.03,0.182,0.179
"Aruba, Kingdom of the Netherlands","Net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,-1.475,-1.455,-2.587,-2.641,-0.243,-16.23,-9.161,-0.465,2.58,2.35
"Aruba, Kingdom of the Netherlands","Primary net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,0.122,0.14,0.08,0.066,0.215,-0.509,-0.266,0.216,0.446,0.485
"Aruba, Kingdom of the Netherlands","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2.301,2.625,1.438,1.132,3.537,-11.112,-4.791,3.401,6.319,6.369
"Aruba, Kingdom of the Netherlands","Gross debt, General government, Domestic currency",Annual,Billions,3.934,4.026,4.197,4.299,4.319,5.146,5.656,5.716,5.556,5.403
"Aruba, Kingdom of the Netherlands","Gross debt, General government, Percent of GDP",Annual,Units,74.177,75.387,75.825,73.31,71.053,112.339,101.816,90.079,78.681,70.888
"Aruba, Kingdom of the Netherlands","Expenditure, General government, Percent of GDP",Annual,Units,25.373,25.119,24.558,24.863,23.688,40.237,28.859,21.679,21.697,21.248
"Aruba, Kingdom of the Netherlands","Population, Number",Annual,Millions,0.108,0.109,0.109,0.109,0.109,0.109,0.108,0.107,0.107,0.107
"Aruba, Kingdom of the Netherlands",Unemployment rate,Annual,Units,7.298,7.694,8.923,7.283,5.2,8.6,8.8,6.6,4,3.884
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Domestic currency",Annual,Billions,5.304,5.341,5.535,5.864,6.078,4.58,5.555,6.345,7.061,7.622
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, US Dollar",Annual,Billions,2.963,2.984,3.092,3.276,3.396,2.559,3.103,3.545,3.945,4.258
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Per capita, US Dollar",Annual,Units,27458.248,27441.561,28440.093,30082.212,31096.315,23565.55,28813.136,33032.454,36743.647,39697.146
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Annual,Units,49150.264,49120.395,50907.766,53847.159,55662.404,42182.335,51575.513,59128.092,65771.129,71057.891
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",Annual,Units,44255.345,44676.466,47821.996,48883.279,47628.601,36411.383,46857.765,51946.633,54674.765,57735.931
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number",Annual,Units,35713.148,36052.983,38591.361,39447.795,38435.295,29383.233,37813.246,41919.858,44121.403,46591.701
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Deflator, Index",Annual,Units,111.061,109.947,106.453,110.155,116.868,115.849,110.068,113.825,120.295,123.074
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",Annual,Billions,5.304,5.341,5.535,5.864,6.078,4.58,5.555,6.345,7.061,7.622
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Domestic currency",Annual,Billions,4.775,4.858,5.2,5.324,5.201,3.954,5.047,5.574,5.87,6.193
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,-0.624,1.72,7.049,2.382,-2.303,-23.983,27.639,10.458,5.3,5.5
"Aruba, Kingdom of the Netherlands","Gross national savings, Percent of GDP",Annual,Units,21.411,21.976,21.844,21.694,23.564,9.187,19.079,26.342,26.664,26.67
"Aruba, Kingdom of the Netherlands","All items, Consumer price index (CPI), Period average",Annual,Units,93.729,92.858,91.903,95.235,98.985,97.687,98.413,103.848,107.34,109.819
"Aruba, Kingdom of the Netherlands","All items, Consumer price index (CPI), End-of-period (EoP)",Annual,Units,93.8,92.98,92.55,96.67,100.13,97.06,100.6,106.37,108.79,111.727
"Aruba, Kingdom of the Netherlands","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)",Annual,Units,-0.929,-0.874,-0.462,4.452,3.579,-3.066,3.647,5.736,2.275,2.7
"Aruba, Kingdom of the Netherlands","All items, Consumer price index (CPI), Percent change, period average",Annual,Units,0.473,-0.929,-1.028,3.625,3.938,-1.312,0.744,5.522,3.363,2.31
"Aruba, Kingdom of the Netherlands","Domestic currency per international dollar in PPP terms, Domestic currency",Annual,Units,1.454,1.426,1.357,1.371,1.423,1.412,1.364,1.317,1.343,1.342
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar",Annual,Billions,3.647,3.745,4.08,4.279,4.271,3.244,4.072,4.819,5.257,5.679
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar",Annual,Units,33794.213,34439.965,37524.982,39287.129,39110.415,29876.108,37813.246,44908.49,48967.953,52944.99
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP",Annual,Units,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003
"Afghanistan, Islamic Republic of","Current account balance, US Dollar",Annual,Billions,0.744,1.627,1.431,2.227,2.209,2.814,,,,
"Afghanistan, Islamic Republic of","Current account balance, Percent of GDP",Annual,Units,3.709,9.029,7.576,12.143,11.705,13.974,,,,
"Afghanistan, Islamic Republic of","Revenue, General government, Domestic currency",Annual,Billions,301.356,344.327,347.829,405.873,395.923,397.564,218.316,194.034,210.773,
"Afghanistan, Islamic Republic of","Revenue, General government, Percent of GDP",Annual,Units,24.569,28.156,27.059,30.57,26.941,25.694,17.449,15.118,15.529,
"Afghanistan, Islamic Republic of","Expenditure, General government, Domestic currency",Annual,Billions,318.255,342.771,356.482,384.176,411.473,432.266,224.384,206.834,229.209,
"Afghanistan, Islamic Republic of","Net lending (+) / net borrowing (-), General government, Domestic currency",Annual,Billions,-16.898,1.556,-8.653,21.697,-15.55,-34.703,-6.067,-12.8,-18.436,
