Model,R²,MAE,MSE,RMSE,Explained Variance,Median Absolute Error
Extra Trees,0.9107466527989206,1.1289374736842106,2.6435090679442093,1.6258871633493541,0.9107993164035164,0.7220900000000023
CatBoost,0.9014337006071362,1.1301638879100793,2.9193404439132156,1.7086077501618724,0.9014337155518711,0.7045092885309892
Stacking Regressor,0.9002141129148398,1.1444999938360279,2.955462239059737,1.7191457876107359,0.9006389181629791,0.7421142093120978
Voting Regressor,0.8738688252117534,1.3501404230481617,3.73575798285752,1.9328109019915838,0.8739485769172892,0.8921828959342162
XGBoost,0.8543816849010075,1.4190371670773156,4.312928853589133,2.076759218972949,0.8548379950554502,0.9542589950561524
Random Forest,0.8358497938735225,1.4571518421052627,4.861807114333151,2.2049505922657655,0.8362224681172696,0.8559899999999976
Gradient Boosting,0.8037908325148614,1.6992380118794361,5.811330664072571,2.41067016907593,0.8052088008534015,1.1545557192741396
Decision Tree,0.7580753588211748,1.640963157894737,7.165333321052631,2.6768140243678924,0.758080519448995,0.8599999999999997
AdaBoost,0.6006123482833445,2.7514026362046553,11.829078819412107,3.439342788878728,0.6171798800407103,2.546469746088097
k-Nearest Neighbors,0.5555427168758261,2.3328884210526315,13.16395289473684,3.6282162138903518,0.5596544644466261,1.3314999999999997
