Year,Country Name,"Current account balance, US Dollar","Current account balance, Percent of GDP","Revenue, General government, Domestic currency","Revenue, General government, Percent of GDP","Expenditure, General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Percent of GDP","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Gross debt, General government, Domestic currency","Gross debt, General government, Percent of GDP","Expenditure, General government, Percent of GDP","Population, Number",Unemployment rate,"Gross domestic product (GDP), Current prices, Domestic currency","Gross domestic product (GDP), Current prices, US Dollar","Gross domestic product (GDP), Current prices, Per capita, US Dollar","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number","Gross domestic product (GDP), Deflator, Index","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Gross domestic product (GDP), Constant prices, Domestic currency","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency","Gross national savings, Percent of GDP","All items, Consumer price index (CPI), Period average","All items, Consumer price index (CPI), End-of-period (EoP)","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)","All items, Consumer price index (CPI), Percent change, period average","Domestic currency per international dollar in PPP terms, Domestic currency","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP","Gross capital formation, Percent of GDP","Imports of goods, Volume, Percent change","Imports of goods and services, Volume, Percent change","Exports of goods, Volume, Percent change","Exports of goods and services, Volume, Percent change"
2015,albania,-0.981,-8.609,379.231,26.44,441.161,-61.931,-4.318,-23.288,-1.624,1057.318,73.716,30.758,2.881,17.1,1434.307,11.389,3953.611,497901.557,255374.206,13234.84,194.969,1434.307,735.657,2.219,15.804,100.0,100.0,1.937,1.868,43.072,33.3,11559.657,0.03,26.237,2.159,0.07,6.572,5.908
2016,albania,-0.898,-7.572,407.021,27.642,429.073,-22.052,-1.498,14.207,0.965,1079.687,73.324,29.139,2.876,15.2,1472.479,11.862,4124.405,511970.591,264262.008,13695.453,193.736,1472.479,760.044,3.315,16.796,101.287,102.165,2.165,1.287,42.397,34.731,12075.634,0.03,25.47,9.381,8.264,-0.129,10.388
2017,albania,-0.978,-7.492,430.397,27.756,452.193,-21.795,-1.406,10.109,0.652,1114.833,71.895,29.162,2.873,13.7,1550.645,13.053,4542.76,539644.574,274562.175,14229.262,196.547,1550.645,788.943,3.802,17.085,103.297,104.011,1.808,1.985,42.255,36.697,12770.998,0.03,24.672,4.39,6.032,-1.377,10.113
2018,albania,-1.024,-6.754,449.389,27.457,475.91,-26.521,-1.62,9.993,0.611,1137.07,69.472,29.077,2.866,12.3,1636.73,15.157,5287.721,571010.087,286303.313,14837.75,199.442,1636.73,820.653,4.019,17.109,105.393,105.882,1.799,2.029,42.303,38.691,13498.153,0.029,24.118,4.234,5.766,14.145,3.523
2019,albania,-1.166,-7.571,460.349,27.209,491.928,-31.579,-1.866,3.564,0.211,1139.796,67.368,29.075,2.854,11.47,1691.903,15.399,5395.101,592778.633,293528.293,15212.186,201.949,1691.903,837.786,2.088,14.742,106.88,107.1,1.15,1.411,40.55,41.723,14618.304,0.03,23.032,3.459,4.719,-8.415,1.651
2020,albania,-1.315,-8.659,425.906,25.853,536.28,-110.374,-6.7,-75.98,-4.612,1248.296,75.772,32.552,2.838,11.675,1647.431,15.192,5353.303,580521.046,285470.24,14794.576,203.356,1647.431,810.121,-3.302,13.991,108.613,108.225,1.051,1.621,40.21,40.97,14437.1,0.029,22.677,-5.092,-19.547,-1.946,-27.441
2021,albania,-1.38,-7.676,510.951,27.527,596.279,-85.328,-4.597,-49.507,-2.667,1396.171,75.218,32.124,2.812,11.5,1856.172,17.984,6396.166,660168.068,313796.635,16262.599,210.381,1856.172,882.291,8.909,16.661,110.831,112.229,3.7,2.043,40.594,45.725,16262.599,0.029,25.469,18.143,23.655,18.816,41.449
2022,albania,-1.121,-5.874,572.79,26.787,651.015,-78.226,-3.658,-38.602,-1.805,1401.586,65.546,30.445,2.778,10.9,2138.339,19.083,6870.21,769826.712,333060.605,17260.96,231.137,2138.339,925.139,4.856,17.989,118.286,120.563,7.425,6.726,41.631,51.364,18491.562,0.03,24.874,4.052,11.68,20.158,28.29
2023,albania,-0.285,-1.247,643.406,27.822,674.677,-31.271,-1.352,16.32,0.706,1383.19,59.811,29.174,2.75,10.7,2312.591,22.822,8299.278,840969.044,348035.024,18037.013,241.633,2312.591,957.066,3.451,23.132,123.927,125.325,3.95,4.769,42.01,55.049,20018.303,0.03,19.444,2.486,10.617,2.821,23.775
2024,albania,-0.206,-0.789,700.107,28.625,753.779,-53.672,-2.194,7.946,0.325,1425.781,58.295,30.819,2.722,10.7,2445.801,26.13,9598.191,898394.392,362978.063,18811.44,247.507,2445.801,988.176,3.251,24.0,126.706,127.898,2.053,2.242,42.027,58.196,21376.586,0.03,21.216,11.985,11.55,-1.077,7.771
2017,argentina,-31.151,-4.838,3670.115,34.428,4383.641,-713.525,-6.693,-450.755,-4.228,6079.298,57.028,41.121,44.045,8.35,10660.228,643.861,14618.327,242031.427,16492.068,28491.917,1467.563,10660.228,726.39,2.818,13.374,211.473,233.781,24.796,25.675,10.293,1035.699,23514.667,0.837,18.213,14.704,14.357,-0.164,-0.246
2018,argentina,-27.084,-5.164,4940.7,33.508,5742.987,-802.287,-5.441,-329.987,-2.238,12569.407,85.246,38.949,44.495,9.2,14744.811,524.431,11786.433,331385.005,15898.082,27465.74,2084.434,14744.811,707.377,-2.617,11.449,283.959,345.167,47.646,34.277,13.527,1090.043,24498.379,0.828,16.614,-6.811,-6.102,-0.653,-0.417
2019,argentina,-3.49,-0.781,7261.811,33.684,8220.032,-958.221,-4.445,-87.646,-0.407,19368.039,89.84,38.129,44.939,9.825,21558.444,446.762,9941.59,479729.91,15425.982,26650.132,3109.883,21558.444,693.224,-2.001,13.318,436.015,530.979,53.832,53.548,20.384,1057.633,23535.013,0.759,14.1,-20.702,-20.977,12.363,12.099
2020,argentina,2.688,0.698,9198.324,33.805,11558.522,-2360.199,-8.674,-1697.957,-6.24,28248.09,103.816,42.479,45.377,11.55,27209.814,385.218,8489.332,599642.029,13764.556,23779.831,4356.421,27209.814,624.591,-9.901,17.296,619.207,722.878,36.141,42.015,26.887,1011.999,22302.151,0.727,16.598,-10.172,-10.326,-12.841,-12.796
2021,argentina,6.625,1.363,15506.694,33.55,17509.344,-2002.651,-4.333,-1167.519,-2.526,37457.218,81.043,37.883,45.809,8.75,46219.084,486.04,10610.191,1008957.601,15058.483,26015.237,6700.26,46219.084,689.81,10.442,19.626,918.961,1091.123,50.942,48.409,38.783,1191.725,26015.237,0.767,17.875,29.709,29.658,12.673,12.578
2022,argentina,-4.056,-0.641,27995.375,33.871,31172.287,-3176.912,-3.844,-1430.872,-1.731,69811.045,84.463,37.715,46.235,6.825,82652.824,632.318,13676.216,1787674.449,15705.957,27133.821,11382.143,82652.824,726.162,5.27,17.16,1584.572,2125.434,94.793,72.431,61.499,1343.968,29068.299,0.78,17.802,10.534,11.605,-2.168,-1.816
2023,argentina,-20.956,-3.246,62154.767,32.473,72417.362,-10262.595,-5.362,-5386.237,-2.814,297464.485,155.411,37.835,46.697,6.125,191404.997,645.511,13823.346,4098855.728,15299.934,26432.371,26790.022,191404.997,714.464,-1.611,15.559,3699.8,6618.763,211.408,133.489,139.722,1369.902,29335.855,0.743,18.805,-3.379,-2.456,-16.955,-14.38
2024,argentina,3.584,0.593,197386.902,31.924,197928.575,-541.673,-0.088,10910.272,1.765,565579.401,91.473,32.012,47.164,8.15,618302.682,604.382,12814.444,13109590.24,14621.132,25259.664,89661.936,618302.682,689.593,-3.481,21.151,12202.836,15865.771,139.709,229.824,456.715,1353.804,28704.096,0.696,20.57,-18.677,-17.406,24.487,20.14
